"Category";"GO_ID";"Description";"Gene_Ratio";"Bg_Ratio";"pvalue";"padj";"gene_ID";"gene_name";"count"
"BP";"GO:0048538";"thymus development";"15/1961";"50/18496";0,00013967355921854;0,0386762736598004;"8379/51804/5595/2625/8456/6722/3280/64919/10370/7001/596/2049/493753/9935/344167";"MAD1L1/SIX4/MAPK3/GATA3/FOXN1/SRF/HES1/BCL11B/CITED2/PRDX2/BCL2/EPHB3/COA5/MAFB/FOXI3";15
"BP";"GO:0007411";"axon guidance";"44/1961";"238/18496";0,00017103314652503;0,0438532775161197;"6405/3730/7869/9423/4854/54437/57549/655/2737/2625/6387/219699/1949/5818/5754/7422/9037/90249/2043/1959/1948/64919/55558/4853/80031/84665/8482/1944/9638/8997/5979/3800/54910/1942/5881/9723/133418/1826/57453/2049/64218/3897/1945/2297";"SEMA3F/ANOS1/SEMA3B/NTN1/NOTCH3/SEMA5B/IGSF9/BMP7/GLI3/GATA3/CXCL12/UNC5B/EFNB3/NECTIN1/PTK7/VEGFA/SEMA5A/UNC5A/EPHA4/EGR2/EFNB2/BCL11B/PLXNA3/NOTCH2/SEMA6D/MYPN/SEMA7A/EFNA3/FEZ1/KALRN/RET/KIF5C/SEMA4C/EFNA1/RAC3/SEMA3E/EMB/DSCAM/DSCAML1/EPHB3/SEMA4A/L1CAM/EFNA4/FOXD1";44
"BP";"GO:0042472";"inner ear morphogenesis";"25/1961";"110/18496";0,000174678387080769;0,0438532775161197;"3784/9423/2263/25861/51804/2625/9368/5818/55084/5754/525/9132/6909/7849/51761/26018/7545/57822/2299/55636/286262/124590/3638/4646/9935";"KCNQ1/NTN1/FGFR2/WHRN/SIX4/GATA3/SLC9A3R1/NECTIN1/SOBP/PTK7/ATP6V1B1/KCNQ4/TBX2/PAX8/ATP8A2/LRIG1/ZIC1/GRHL3/FOXI1/CHD7/TPRN/USH1G/INSIG1/MYO6/MAFB";25
"BP";"GO:0060675";"ureteric bud morphogenesis";"18/1961";"68/18496";0,000186957753426674;0,0438532775161197;"1739/51804/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/10736/596/56998/9500/4070/2297";"DLG1/SIX4/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/FOXD1";18
"BP";"GO:0097485";"neuron projection guidance";"44/1961";"239/18496";0,000188535156991056;0,0438532775161197;"6405/3730/7869/9423/4854/54437/57549/655/2737/2625/6387/219699/1949/5818/5754/7422/9037/90249/2043/1959/1948/64919/55558/4853/80031/84665/8482/1944/9638/8997/5979/3800/54910/1942/5881/9723/133418/1826/57453/2049/64218/3897/1945/2297";"SEMA3F/ANOS1/SEMA3B/NTN1/NOTCH3/SEMA5B/IGSF9/BMP7/GLI3/GATA3/CXCL12/UNC5B/EFNB3/NECTIN1/PTK7/VEGFA/SEMA5A/UNC5A/EPHA4/EGR2/EFNB2/BCL11B/PLXNA3/NOTCH2/SEMA6D/MYPN/SEMA7A/EFNA3/FEZ1/KALRN/RET/KIF5C/SEMA4C/EFNA1/RAC3/SEMA3E/EMB/DSCAM/DSCAML1/EPHB3/SEMA4A/L1CAM/EFNA4/FOXD1";44
"BP";"GO:0072088";"nephron epithelium morphogenesis";"20/1961";"80/18496";0,00019663072534882;0,0439772179962843;"1739/51804/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/153572/10736/596/79191/56998/9500/4070/2297";"DLG1/SIX4/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/IRX2/SIX2/BCL2/IRX3/CTNNBIP1/MAGED1/TACSTD2/FOXD1";20
"BP";"GO:0061138";"morphogenesis of a branching epithelium";"37/1961";"191/18496";0,000209679922707527;0,0451588426127507;"2263/1739/79977/2099/51804/655/80004/2294/2737/374/4192/7421/6722/7422/10765/4488/6909/7849/3169/4613/23213/51176/80000/2719/6768/9955/54361/6692/255743/9723/10736/596/56998/9500/4070/441478/2297";"FGFR2/DLG1/GRHL2/ESR1/SIX4/BMP7/ESRP2/FOXF1/GLI3/AREG/MDK/VDR/SRF/VEGFA/KDM5B/MSX2/TBX2/PAX8/FOXA1/MYCN/SULF1/LEF1/GREB1L/GPC3/ST14/HS3ST3A1/WNT4/SPINT1/NPNT/SEMA3E/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/NRARP/FOXD1";37
"BP";"GO:0060993";"kidney morphogenesis";"23/1961";"99/18496";0,000221530689983403;0,0457559220234911;"1739/51804/655/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/153572/10736/596/79191/2066/56998/9500/4070/2650/2297";"DLG1/SIX4/BMP7/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/IRX2/SIX2/BCL2/IRX3/ERBB4/CTNNBIP1/MAGED1/TACSTD2/GCNT1/FOXD1";23
"BP";"GO:0072171";"mesonephric tubule morphogenesis";"18/1961";"69/18496";0,000228189464949483;0,0457559220234911;"1739/51804/2737/2625/7422/3280/7849/80000/2719/9955/54361/255743/10736/596/56998/9500/4070/2297";"DLG1/SIX4/GLI3/GATA3/VEGFA/HES1/PAX8/GREB1L/GPC3/HS3ST3A1/WNT4/NPNT/SIX2/BCL2/CTNNBIP1/MAGED1/TACSTD2/FOXD1";18
"CC";"GO:0016528";"sarcoplasm";"25/2100";"97/19528";2,42310659382185e-05;0,012918448361912;"84062/23224/816/79041/489/55151/56704/51655/607/845/3709/4772/10456/57158/288/57338/3099/124093/202333/6517/6345/10345/487/4151/9722";"DTNBP1/SYNE2/CAMK2B/TMEM38A/ATP2A3/TMEM38B/JPH1/RASD1/BCL9/CASQ2/ITPR2/NFATC1/HAX1/JPH2/ANK3/JPH3/HK2/CCDC78/CMYA5/SLC2A4/SRL/TRDN/ATP2A1/MB/NOS1AP";25
"CC";"GO:0016529";"sarcoplasmic reticulum";"21/2100";"77/19528";4,3040227743209e-05;0,012918448361912;"23224/816/79041/489/55151/56704/51655/845/3709/10456/57158/288/57338/3099/124093/202333/6517/6345/10345/487/9722";"SYNE2/CAMK2B/TMEM38A/ATP2A3/TMEM38B/JPH1/RASD1/CASQ2/ITPR2/HAX1/JPH2/ANK3/JPH3/HK2/CCDC78/CMYA5/SLC2A4/SRL/TRDN/ATP2A1/NOS1AP";21
"CC";"GO:0098839";"postsynaptic density membrane";"29/2100";"126/19528";5,60287537377872e-05;0,012918448361912;"53616/27092/1739/1741/57549/79953/1949/2043/1948/80758/5025/58489/66000/1740/57512/7074/2905/2899/145581/112476/1128/54910/146395/2902/2066/11122/23237/392617/729993";"ADAM22/CACNG4/DLG1/DLG3/IGSF9/SYNDIG1/EFNB3/EPHA4/EFNB2/PRR7/P2RX4/ABHD17C/TMEM108/DLG2/GPR158/TIAM1/GRIN2C/GRIK3/LRFN5/PRRT2/CHRM1/SEMA4C/GSG1L/GRIN1/ERBB4/PTPRT/ARC/ELFN1/SHISA9";29
"CC";"GO:0098984";"neuron to neuron synapse";"70/2100";"414/19528";8,42505407618749e-05;0,012918448361912;"9912/53616/9066/84062/9498/816/5662/79641/84708/27092/1739/1741/57549/4923/79953/9455/6009/22849/1949/5818/2771/7781/2043/58512/6230/1948/154796/9026/80758/116988/6272/5025/58489/6252/6457/66000/114569/1740/57512/9456/7074/8997/23623/6132/2905/476/134/2899/145581/26012/112476/1128/54910/146395/1501/91683/200933/254263/2902/2066/5062/575/23621/11122/26037/6136/23237/392617/729993/80725";"ARHGAP44/ADAM22/SYT7/DTNBP1/SLC4A8/CAMK2B/PSD/ROGDI/LNX1/CACNG4/DLG1/DLG3/IGSF9/NTSR1/SYNDIG1/HOMER2/RHEB/CPEB3/EFNB3/NECTIN1/GNAI2/SLC30A3/EPHA4/DLGAP3/RPS25/EFNB2/AMOT/HIP1R/PRR7/AGAP3/SORT1/P2RX4/ABHD17C/RTN1/SH3GL3/TMEM108/MAL2/DLG2/GPR158/HOMER1/TIAM1/KALRN/RUSC1/RPL8/GRIN2C/ATP1A1/ADORA1/GRIK3/LRFN5/NSMF/PRRT2/CHRM1/SEMA4C/GSG1L/CTNND2/SYT12/FBXO45/CNIH2/GRIN1/ERBB4/PAK2/ADGRB1/BACE1/PTPRT/SIPA1L1/RPL12/ARC/ELFN1/SHISA9/SRCIN1";70
"CC";"GO:0043296";"apical junction complex";"33/2100";"155/19528";9,28049451286781e-05;0,012918448361912;"440193/999/1739/57662/1741/27134/51599/5818/23150/9414/4072/84612/154796/91862/57530/286676/357/286204/143098/288/153562/50848/57125/79778/1365/225689/1366/89958/1364/100506658/317762/9080/83481";"CCDC88C/CDH1/DLG1/CAMSAP3/DLG3/TJP3/LSR/NECTIN1/FRMD4B/TJP2/EPCAM/PARD6B/AMOT/MARVELD3/CGN/ILDR1/SHROOM2/CRB2/MPP7/ANK3/MARVELD2/F11R/PLXDC1/MICALL2/CLDN3/MAPK15/CLDN7/SAPCD2/CLDN4/OCLN/CCDC85C/CLDN9/EPPK1";33
"CC";"GO:0033017";"sarcoplasmic reticulum membrane";"14/2100";"44/19528";0,000133913019278122;0,0155339102362622;"23224/816/79041/489/55151/56704/845/3709/57158/57338/6345/10345/487/9722";"SYNE2/CAMK2B/TMEM38A/ATP2A3/TMEM38B/JPH1/CASQ2/ITPR2/JPH2/JPH3/SRL/TRDN/ATP2A1/NOS1AP";14
"CC";"GO:0030133";"transport vesicle";"72/2100";"441/19528";0,000202962311883703;0,0187177802492859;"3382/51226/9066/84062/9498/3784/9627/79641/2261/5873/7879/2778/201294/255057/11015/79953/51760/9545/11316/50617/1174/320/374/1363/341359/57221/7781/525/51107/3709/1621/10396/7425/10053/78992/5538/11161/6272/10717/9550/54843/85439/122616/84958/64418/94122/114569/90019/8448/11094/1173/23176/202915/112476/54910/10972/91683/254263/1212/79666/2902/81575/3119/7054/22820/6517/84937/23621/3123/4311/84258/9554";"ICA1/COPZ2/SYT7/DTNBP1/SLC4A8/KCNQ1/SNCAIP/ROGDI/FGFR3/RAB27A/RAB7A/GNAS/UNC13D/CBARP/KDELR3/SYNDIG1/SYT17/RAB3D/COPE/ATP6V0A4/AP1S1/APBA1/AREG/CPE/SYT10/ARFGEF3/SLC30A3/ATP6V1B1/APH1A/ITPR2/DBH/ATP8A1/VGF/AP1M2/YIPF2/PPT1/ERG28/SORT1/AP4B1/ATP6V1G1/SYTL2/STON2/CLBA1/SYTL1/TMEM168/SYTL5/MAL2/SYT8/DOC2A/CACFD1/AP2M1/SEPT8/TMEM184A/PRRT2/SEMA4C/TMED10/SYT12/CNIH2/CLTB/PLEKHF2/GRIN1/APOLD1/HLA-DQB1/TH/COPG1/SLC2A4/ZNRF1/BACE1/HLA-DRB1/MME/SYT3/SEC22B";72
"CC";"GO:0005923";"bicellular tight junction";"28/2100";"129/19528";0,000217034029492093;0,0187177802492859;"1739/1741/27134/51599/23150/9414/4072/84612/154796/91862/57530/286676/357/143098/288/153562/50848/57125/79778/1365/225689/1366/89958/1364/100506658/317762/9080/83481";"DLG1/DLG3/TJP3/LSR/FRMD4B/TJP2/EPCAM/PARD6B/AMOT/MARVELD3/CGN/ILDR1/SHROOM2/MPP7/ANK3/MARVELD2/F11R/PLXDC1/MICALL2/CLDN3/MAPK15/CLDN7/SAPCD2/CLDN4/OCLN/CCDC85C/CLDN9/EPPK1";28
