"NAME";"ORIGINAL SIZE";"AFTER RESTRICTING TO DATASET";"STATUS"
"AMINOGLYCAN_BIOSYNTHETIC_PROCESS (GO:0006023)";54;51;""
"AMINOGLYCAN_CATABOLIC_PROCESS (GO:0006026)";32;27;""
"AMINOGLYCAN_METABOLIC_PROCESS (GO:0006022)";98;87;""
"AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS (GO:0030647)";10;NA;"Rejected!"
"AMINOPHOSPHOLIPID_TRANSLOCATION (GO:0140331)";7;NA;"Rejected!"
"AMINOPHOSPHOLIPID_TRANSPORT (GO:0015917)";9;NA;"Rejected!"
"AMINO_ACID_ACTIVATION (GO:0043038)";45;44;""
"AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS (GO:0006578)";7;NA;"Rejected!"
"AMINO_ACID_BETAINE_METABOLIC_PROCESS (GO:0006577)";19;17;""
"AMINO_ACID_BETAINE_TRANSPORT (GO:0015838)";14;NA;"Rejected!"
"AMINO_ACID_BIOSYNTHETIC_PROCESS (GO:0008652)";68;62;""
"AMINO_ACID_CATABOLIC_PROCESS (GO:0009063)";112;103;""
"AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE (GO:0089718)";52;46;""
"AMINO_ACID_METABOLIC_PROCESS (GO:0006520)";282;254;""
"AMINO_ACID_NEUROTRANSMITTER_REUPTAKE (GO:0051933)";10;NA;"Rejected!"
"AMINO_ACID_SALVAGE (GO:0043102)";5;NA;"Rejected!"
"AMINO_ACID_TRANSMEMBRANE_TRANSPORT (GO:0003333)";112;93;""
"AMINO_ACID_TRANSPORT (GO:0006865)";167;142;""
"AMINO_SUGAR_BIOSYNTHETIC_PROCESS (GO:0046349)";13;NA;"Rejected!"
"AMINO_SUGAR_CATABOLIC_PROCESS (GO:0046348)";14;NA;"Rejected!"
"AMINO_SUGAR_METABOLIC_PROCESS (GO:0006040)";43;42;""
"AMMONIUM_HOMEOSTASIS (GO:0097272)";7;NA;"Rejected!"
